Seq No       X      Y    X-Y
     0     -1     -1     -1
     1     -1     -1     -1
     2     -1     -1     -1
     3     -1  12395  12396
     4     -1  16143  16144
     5     -1   6776   6777
     6     -1     -1     -1
     7     -1     -1     -1
     8     -1  15906  15907
     9     -1  16797  16798
For ../Datasets/LongSequences_100K_PBSIM_10Pairs.txt
 #positive 5
 #neutral 0
 #negative 5
